index,metadata,proba_canon,prediction,accord,auteur
1812_Kock-Paul-de_L-enfant-de-ma-femme,non_canon,0.0093411499507302,non_canon,True,Kock-Paul-de
1816_Barthelemy-Hadot-Marie-Adelaide_La-Vierge-de-l-Indostan-ou-les-Portugais-au-Malabar_(Tome-2),non_canon,0.0230161392426874,non_canon,True,Barthelemy-Hadot-Marie-Adelaide
1816_Barthelemy-Hadot-Marie-Adelaide_La-Vierge-de-l-Indostan-ou-les-Portugais-au-Malabar_(Tome-4),non_canon,0.024630110088511,non_canon,True,Barthelemy-Hadot-Marie-Adelaide
1816_Barthelemy-Hadot-Marie-Adelaide_La-Vierge-de-l-Indostan-ou-les-Portugais-au-Malabar_(Tome-1),non_canon,0.0202619434275596,non_canon,True,Barthelemy-Hadot-Marie-Adelaide
1816_Bournon-Malarme-Charlotte-de_Lancelot-Montagu-ou-le-Resultat-des-bonnes-fortunes_Tome-1,non_canon,0.0077131438010283,non_canon,True,Bournon-Malarme-Charlotte-de
1816_Bournon-Malarme-Charlotte-de_Lancelot-Montagu-ou-le-Resultat-des-bonnes-fortunes_Tome-2,non_canon,0.0030165468707544,non_canon,True,Bournon-Malarme-Charlotte-de
1816_Bournon-Malarme-Charlotte-de_Lancelot-Montagu-ou-le-Resultat-des-bonnes-fortunes_Tome-3,non_canon,0.004142933156595,non_canon,True,Bournon-Malarme-Charlotte-de
1817_Barthelemy-Hadot-Marie-Adelaide_Les-Venitiens-ou-le-Capitaine-français_(Tome-4),non_canon,0.0274463086523688,non_canon,True,Barthelemy-Hadot-Marie-Adelaide
1817_Barthelemy-Hadot-Marie-Adelaide_Les-Venitiens-ou-le-Capitaine-français_(Tome-2),non_canon,0.0238750036551347,non_canon,True,Barthelemy-Hadot-Marie-Adelaide
1817_Barthelemy-Hadot-Marie-Adelaide_Les-venitiens-ou-Le-capitaine-français_(Tome-1),non_canon,0.0207265344878216,non_canon,True,Barthelemy-Hadot-Marie-Adelaide
1819_Barthelemy-Hadot-Marie-Adelaide_Laurence-de-Sully-ou-L-ermitage-en-Suisse_(Tome-2),non_canon,0.0254558347078037,non_canon,True,Barthelemy-Hadot-Marie-Adelaide
1819_Barthelemy-Hadot-Marie-Adelaide_Laurence-de-Sully-ou-L-ermitage-en-Suisse_(Tome-4),non_canon,0.0098103760855141,non_canon,True,Barthelemy-Hadot-Marie-Adelaide
1819_Barthelemy-Hadot-Marie-Adelaide_Laurence-de-Sully-ou-L-ermitage-en-Suisse_(Tome-3),non_canon,0.0123258113354622,non_canon,True,Barthelemy-Hadot-Marie-Adelaide
1821_Arlincourt-Charles-Victor_Le-Solitaire,non_canon,0.0559225343908974,non_canon,True,Arlincourt-Charles-Victor
1822_Arlincourt-Charles-Victor_Le-renégat_Tome-1,non_canon,0.0657838738683159,non_canon,True,Arlincourt-Charles-Victor
1822_Arlincourt-Charles-Victor_Le-renégat_Tome-2,non_canon,0.0183462630327372,non_canon,True,Arlincourt-Charles-Victor
1824_Mazier-du-Heaume-Hippolyte_Voyage-d-un-jeune-grec-a-Paris_Volume-1,non_canon,0.4180252477119989,canon,False,Mazier-du-Heaume-Hippolyte
1824_Mazier-du-Heaume-Hippolyte_Voyage-d-un-jeune-grec-a-Paris_Volume-2,non_canon,0.4224275878255566,canon,False,Mazier-du-Heaume-Hippolyte
1826_Kock-Paul-de_Andre-le-Savoyard,non_canon,0.0140413680755737,non_canon,True,Kock-Paul-de
1828_Kock-Paul-de_Jean,non_canon,0.0376504832281662,non_canon,True,Kock-Paul-de
1834_Arlincourt-Charles-Victor_Le-brasseur-roi_tome-2,non_canon,0.0654558519567611,non_canon,True,Arlincourt-Charles-Victor
1834_Arlincourt-Charles-Victor_Le-brasseur-roi_tome-1,non_canon,0.0256176506432835,non_canon,True,Arlincourt-Charles-Victor
1834_Arlincourt-Charles-Victor_Le-brasseur-roi_tome-4,non_canon,0.0164098377059982,non_canon,True,Arlincourt-Charles-Victor
1834_Arlincourt-Charles-Victor_Le-brasseur-roi_tome-3,non_canon,0.0379144688147437,non_canon,True,Arlincourt-Charles-Victor
1835_Chaumier-Simeon_La-Taverniere-de-la-cite,non_canon,0.0212576360856555,non_canon,True,Chaumier-Simeon
1838_Kock-Paul-de_Madeleine,non_canon,0.0393093571402297,non_canon,True,Kock-Paul-de
1839_Borel-Petrus_Madame-Putiphar,non_canon,0.0458178296977095,non_canon,True,Borel-Petrus
1843_Tillier-Claude_Mon-oncle-Benjamin,non_canon,0.1576333097770175,non_canon,True,Tillier-Claude
1843_Pigault-Lebrun_Mon-oncle-Thomas,non_canon,0.0515543021227398,non_canon,True,Pigault-Lebrun
1845_Viel-Castel-Horace-de_Archambaud-de-Comborn,non_canon,0.0274436931585943,non_canon,True,Viel-Castel-Horace-de
1847_Sainte-Marie-Mme-de-Plagniol_Les-Bonnes-eleves,non_canon,0.0615669345004422,non_canon,True,Sainte-Marie-Mme-de-Plagniol
1847_Achard-Amedee_Belle-Rose,non_canon,0.7570064613556373,canon,False,Achard-Amedee
1851_Souvestre-Emile_Un-philosophe-sous-les-toits,non_canon,0.0245776660808462,non_canon,True,Souvestre-Emile
1851_Souvestre-Emile_Les-derniers-paysans_Tome-1,non_canon,0.1634648311893113,non_canon,True,Souvestre-Emile
1851_Souvestre-Emile_Les-derniers-paysans_Tome-2,non_canon,0.015538234472764,non_canon,True,Souvestre-Emile
1852_Souvestre-Emile_Dans-la-prairie,non_canon,1.827403441635941e-05,non_canon,True,Souvestre-Emile
1852_Souvestre-Emile_Comtes,non_canon,0.0045873564880514,non_canon,True,Souvestre-Emile
1853_Chamfleury_Les-souffrances-du-professeur-Delteil,non_canon,0.1396099978700473,non_canon,True,Chamfleury
1853_Desnoiresterres-Gustave_Un-amour-en-diligence,non_canon,0.2275327216681602,non_canon,True,Desnoiresterres-Gustave
1855_Solignac-Armand-de_Le-Gateau-des-rois-souvenirs-d-enfance,non_canon,0.002632092462319,non_canon,True,Solignac-Armand-de
1857_La-Rounat-Charles-de_La-Comedie-de-l-amour,non_canon,0.017277048187383,non_canon,True,La-Rounat-Charles-de
1857_Soulie-Frederic_Le-Magnetiseur,non_canon,0.1764755636886605,non_canon,True,Soulie-Frederic
1858_Souvestre-Emile_Scenes-de-la-chouannerie,non_canon,0.0598001116558527,non_canon,True,Souvestre-Emile
1858_Achard-Amedee_Madame-Rose,non_canon,0.030540130171583,non_canon,True,Achard-Amedee
1858_Pressense-Elise-de_Rosa,non_canon,0.0033297325758988,non_canon,True,Pressense-Elise-de
