index,metadata,proba_canon,prediction,accord
1982_Le-Clezio-Jean-Marie-Gustave_La-ronde-et-autres-faits-divers,non_canon,0.5367680859339541,canon,False
1907_Moselly-Emile_Terres-lorraines,canon,0.8512961348397858,canon,True
1844_Doublet-Victor_Ezilda-ou-la-Zingara-oeuvre-historique-et-morale,non_canon,0.16149475582450665,non_canon,True
1842_Sue-Eugene_Oeuvres,non_canon,0.0476051188190808,non_canon,True
1834_Sainte-Beuve_Volupte_2,canon,0.6562720745147108,canon,True
1968_Yourcenar-Marguerite_L-Oeuvre-Au-Noir,canon,0.8729524387628114,canon,True
2006_Nimier-Marie_La-Reine-du-silence,canon,0.517150179540607,canon,True
1846_Balzac-Honore-de_Louis-Lambert,canon,0.27581288428942535,non_canon,False
1843_Balzac-Honore-de_Le-Cure-de-Tours,canon,0.2589618011053857,non_canon,False
1849_Chateaubriand-François-Rene-de_Memoires-d-Outre-Tombe_Tome-3,canon,0.5468345133160408,canon,True
1888_Courteline-Georges_Les-femmes-d-amis,non_canon,0.350468653464223,non_canon,True
1862_About-Edmond_L-homme-a-l-oreille-cassee,non_canon,0.06848301347871064,non_canon,True
1846_Balzac-Honore-de_Le-Medecin-de-campagne,canon,0.22860982002921068,non_canon,False
1888_Greville-Henry_La-seconde-mere,non_canon,0.1045382074945719,non_canon,True
1846_Balzac-Honore-de_Une-tenebreuse-affaire,canon,0.1955668534909785,non_canon,False
1967_Simon-Claude_Histoire,canon,0.6836829265789006,canon,True
1913_Alain-Fournier_Le-grand-Meaulnes,canon,0.515389099707985,canon,True
1846_Balzac-Honore-de_Un-prince-de-la-Boheme,non_canon,0.27628377271179644,non_canon,True
1926_Kessel-Joseph_Les-Captifs,canon,0.5197804101324429,canon,True
2010_Houellebecq-Michel_La-Carte-et-le-territoire,canon,0.7368590942663762,canon,True
1980_Le-Clezio-Jean-Marie-Gustave_Desert,canon,0.4823243254377153,canon,True
1844_Balzac-Honore-de_Le-Lys-dans-la-vallee,canon,0.1274500439291537,non_canon,False
1845_Balzac-Honore-de_La-Recherche-de-l-Absolu,canon,0.1696496411430808,non_canon,False
2011_Bauchau-Henry_L-Enfant-rieur,canon,0.5287089357621155,canon,True
1843_Balzac-Honore-de_Eugenie-Grandet,canon,0.15683358960527763,non_canon,False
1882_Ohnet-Georges_Le-Maitre-de-forges,non_canon,0.11339100311671459,non_canon,True
1855_Balzac-Honore-de_Les-Paysans,canon,0.47368522091487303,canon,True
1957_Vailland-Roger_La-Loi,non_canon,0.5374052786691764,canon,False
1843_Balzac-Honore-de_Histoire-des-Treize-et-La-Duchesse-de-Langeais,non_canon,0.14052480005319953,non_canon,True
1845_Balzac-Honore-de_Un-debut-dans-la-vie,canon,0.17853883395507825,non_canon,False
1883_Greville-Henry_La-maison-de-Maureze,non_canon,0.08944889641181464,non_canon,True
1849_Chateaubriand-François-Rene-de_Memoires-d-Outre-Tombe_Tome-2,canon,0.6086264488531538,canon,True
1846_Mme-Tarbe-Des-Sablons_Isabelle,canon,0.053672281913638424,non_canon,False
1857_Ulbach-Louis_Parents-coupables-memoires-d-un-lyceen,non_canon,0.12302355114854899,non_canon,True
1843_Sue-Eugene_Les-Mysteres-de-Paris_Tome-V,non_canon,0.04716444857973516,non_canon,True
1863_Fromentin-Eugene_Dominique,canon,0.6496939460145623,canon,True
1878_Greville-Henry_Les-epreuves-de-Raissa,non_canon,0.07877930329108346,non_canon,True
1844_Chateaubriand-François-Rene-de_Vie-de-Rance,canon,0.5,canon,True
2008_Bauchau-Henry_Le-Boulevard-peripherique,canon,0.7623549140494724,canon,True
1846_Balzac-Honore-de_Le-Cure-de-village,canon,0.28844473610288834,non_canon,False
1930_Malraux-Andre_La-voie-royale,canon,0.7009347069878428,canon,True
1960_Simon-Claude_La-Route-des-Flandres,canon,0.5166373714115611,canon,True
1864_Ulbach-Louis_Memoires-d-un-inconnu,non_canon,0.34767001727054214,non_canon,True
2008_Cusset-Catherine_Un-brillant-avenir,canon,0.49442547925992797,canon,True
1843_Balzac-Honore-de_Ursule-Mirouet,canon,0.1604084178878778,non_canon,False
1844_Balzac-Honore-de_Splendeurs-et-miseres-des-courtisanes,canon,0.16377517796850954,non_canon,False
1855_Stendhal_Chroniques-italiennes,canon,0.2341343957851309,non_canon,False
1889_Darien-Georges_Bas-les-coeurs,non_canon,0.3516963257868624,non_canon,True
1843_Balzac-Honore-de_Pierrette,canon,0.2955891394621159,non_canon,False
1846_Balzac-Honore-de_La-Femme-abandonnee,non_canon,0.2076423749064571,non_canon,True
2004_Gavalda-Anna_Ensemble-c-est-tout,non_canon,0.6190102790590385,canon,False
1868_Ponson-du-Terrail-Pierre_Le-Dernier-Mot-de-Rocambole_Tome-II-Les-Millions-de-la-bohemienne,non_canon,0.2506773140544943,non_canon,True
1839_Stendhal_La-Chartreuse-de-Parme,canon,0.1876463831249656,non_canon,False
1998_Kundera-Milan_L-Identite,non_canon,0.6922351831807944,canon,False
1891_Zola-Emile_L-argent,canon,0.567921934284873,canon,True
1884_Cavailhon-Édouard_La-Créole-parisienne,non_canon,0.15665698090111257,non_canon,True
1905_Farrere-Claude_Les-civilises,canon,0.7499663980032517,canon,True
1932_Simenon-Georges_Le-Fou-de-Bergerac,non_canon,0.29279778031676335,non_canon,True
1840_Merimee-Prosper_Colomba,non_canon,0.3093904701311455,non_canon,True
1927_Proust-Marcel_Le-Temps-retrouve,canon,0.7571816736621103,canon,True
2014_Bouraoui-Nina_Standard,non_canon,0.6181483755206212,canon,False
1921_Proust-Marcel_Sodome-et-Gomorrhe,canon,0.5653532363354076,canon,True
1947_Simenon-Georges_Maigret-et-l-inspecteur-Malgracieux,non_canon,0.29279778031676335,non_canon,True
1861_Goncourt-Edmond-de-Goncourt-Jules-de_Sœur-Philomene,non_canon,0.6491486683408147,canon,False
1954_Beauvoir-Simone-de_Les-Mandarins_2,canon,0.4815690039549976,canon,True
1978_Perec-Georges_La-Vie-mode-d-emploi,canon,0.8651176425389373,canon,True
1876_Husson-Mme-de_La-Fille-du-rabbin,non_canon,0.18953718753394685,non_canon,True
1918_Proust-Marcel_A-l-ombre-des-jeunes-filles-en-fleurs,canon,0.7653235029497549,canon,True
1879_Daudet-Alphonse_Lettres-de-mon-moulin,canon,0.5503963586526857,canon,True
1888_Theuriet-Andre_Gertrude-et-Veronique,non_canon,0.23194697397991526,non_canon,True
