doc_name,date,auteur,titre,gender,subgenre,canon_roman,canon_auteur,bac,brevet,lm,sup,prix,gf,pleiade,gouv
1844_Sand-George_Andre,1844,george sand,andre,female,,non_canon,canon,0,0,1,0,0,0,1,0
1941_Simenon-Georges_La-maison-du-juge,1941,georges simenon,la maison du juge,male,policier,non_canon,canon,0,0,1,0,0,0,1,0
1975_San-Antonio_Dis-bonjour-a-la-dame,1975,antonio san,dis bonjour a la dame,male,érotisme,non_canon,non_canon,0,0,0,0,0,0,0,0
1826_Ginouvier-J-F-T._Gustave-et-Aspais-ou-Les-victimes-des-prejuges-de-l-epoque_tome-1,1826,j f t. ginouvier,gustave et aspais ou les victimes des prejuges de l epoque,,épistolaire,non_canon,non_canon,0,0,0,0,0,0,0,0
1858_Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier,1858,anatole henri philippe de segur,les memoires d un troupier,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
1991_Perec-Georges_Cantatrix-Sopranica-L-Et-Autres-Ecrits-Scientifiques,1991,georges perec,cantatrix sopranica l et autres ecrits scientifiques,male,non-fiction,non_canon,canon,0,0,0,0,0,0,1,0
1851_Sand-George_Le-chateau-des-Desertes,1851,george sand,le chateau des desertes,female,,non_canon,canon,0,0,1,0,0,0,1,0
1879_Merouvel-Charles_La-Vertu-de-l-abbe-Mirande-moeurs-parisiennes,1879,charles merouvel,la vertu de l abbe mirande moeurs parisiennes,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
1850_Bassanville-Anais-de_Le-Soir-et-le-matin-de-la-vie-ou-Conseils-aux-jeunes-filles,1850,anais de bassanville,le soir et le matin de la vie ou conseils aux jeunes filles,female,nouvelles,non_canon,non_canon,0,0,0,0,0,0,0,0
1954_Beauvoir-Simone-de_Les-Mandarins_2,1954,simone de beauvoir,les mandarins,female,,canon,canon,0,0,1,0,1,0,1,0
1880_Debans-Camille_Les-Drames-a-toute-vapeur,1880,camille debans,les drames a toute vapeur,male,nouvelles,non_canon,non_canon,0,0,0,0,0,0,0,0
2010_Lemaitre-Pierre_Cadres-Noirs,2010,pierre lemaitre,cadres noirs,male,policier,non_canon,non_canon,0,0,0,0,0,0,0,0
1831_Sue-Eugene_Atar-Gull,1831,eugene sue,atar gull,male,roman d'aventures,non_canon,canon,0,0,0,0,0,0,0,0
1994_Grange-Jean-Christophe_Le-vol-des-cigognes,1994,jean christophe grange,le vol des cigognes,male,policier,non_canon,non_canon,0,0,0,0,0,0,0,0
1957_Simenon-Georges_Maigret-voyage,1957,georges simenon,maigret voyage,male,policier,non_canon,canon,0,0,1,0,0,0,1,0
1911_Apollinaire-Guillaume_Les-exploits-d-un-jeune-don-Juan,1911,guillaume apollinaire,les exploits d un jeune don juan,male,érotisme,non_canon,canon,0,0,1,0,0,0,1,0
1965_San-Antonio_Vas-y-Beru,1965,antonio san,vas y beru,male,érotisme,non_canon,non_canon,0,0,0,0,0,0,0,0
1849_Chateaubriand-François-Rene-de_Memoires-d-Outre-Tombe_Tome-4,1849,françois rene de chateaubriand,memoires d outre tombe,male,mémoires et autobiographie,canon,canon,1,1,0,0,0,1,0,0
1997_Ernaux-Annie_La-honte,1997,annie ernaux,la honte,female,,non_canon,canon,0,0,0,0,0,0,0,0
1884_Daudet-Alphonse_Sapho,1884,alphonse daudet,sapho,male,,canon,canon,0,0,1,0,0,1,1,0
1951_Beckett-Samuel_Malone-meurt,1951,samuel beckett,malone meurt,male,cycles et séries,non_canon,canon,0,0,1,0,0,0,0,0
1951_Simenon-Georges_Maigret-et-la-grande-perche,1951,georges simenon,maigret et la grande perche,male,policier,non_canon,canon,0,0,1,0,0,0,1,0
1882_Fleuriot-Zenaide_Bouche-en-coeur,1882,zenaide fleuriot,bouche en coeur,female,littérature jeunesse,non_canon,non_canon,0,0,0,0,0,0,0,0
1929_Saint-Exupery-Antoine-de_Courrier-Sud,1929,exupery antoine de saint,courrier sud,male,roman d'aventures,non_canon,canon,0,0,0,0,0,0,0,0
1969_San-Antonio_En-avant-la-moujik,1969,antonio san,en avant la moujik,male,érotisme,non_canon,non_canon,0,0,0,0,0,0,0,0
1889_Barres-Maurice_Le-culte-du-moi_2-Un-homme-libre,1889,maurice barres,le culte du moi,male,,non_canon,canon,0,0,1,0,0,0,0,0
1861_Pont-Jest-Rene-de_Le-Fire-fly-Souvenirs-des-Indes-et-de-la-Chine,1861,jest rene de pont,le fire fly souvenirs des indes et de la chine,male,récit de voyage,non_canon,non_canon,0,0,0,0,0,0,0,0
1900_Verne-Jules-_Seconde-patrie,1900,jules  verne,seconde patrie,male,roman d'aventures,non_canon,canon,0,0,0,0,0,0,0,0
1888_Daudet-Alphonse_Souvenirs-d-un-homme-de-lettres,1888,alphonse daudet,souvenirs d un homme de lettres,male,mémoires et autobiographie,non_canon,canon,0,0,1,0,0,0,1,0
1875_Noel-Eugene_Memoires-d-un-imbecile,1875,eugene noel,memoires d un imbecile,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
1879_Belot-Adolphe_Une-Joueuse,1879,adolphe belot,une joueuse,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
1887_Belot-Adolphe_Alphonsine,1887,adolphe belot,alphonsine,male,policier,non_canon,non_canon,0,0,0,0,0,0,0,0
1834_Suau-de-Varennes-Edouard_Scenes-de-France-et-d-Afrique,1834,de varennes edouard suau,scenes de france et d afrique,male,nouvelles,non_canon,non_canon,0,0,0,0,0,0,0,0
1939_Sarraute-Nathalie_Tropismes,1939,nathalie sarraute,tropismes,female,fragments,canon,canon,0,0,1,1,0,0,1,0
1817_Barthelemy-Hadot-Marie-Adelaide_Les-Venitiens-ou-le-Capitaine-français_(Tome-4),1817,hadot marie adelaide barthelemy,les venitiens ou le capitaine français,female,roman d'aventures,non_canon,non_canon,0,0,0,0,0,0,0,0
2008_Nothomb-Amelie_Ni-d-Eve-ni-d-Adam,2008,amelie nothomb,ni d eve ni d adam,female,mémoires et autobiographie,non_canon,canon,0,0,0,0,0,0,0,0
1902_Loti-Pierre_Les-derniers-jours-de-Pekin,1902,pierre loti,les derniers jours de pekin,male,récit de voyage,non_canon,canon,0,0,1,0,0,0,0,0
1876_Glady-Alberic_Male-et-femelle,1876,alberic glady,male et femelle,male,,non_canon,non_canon,0,0,0,0,0,0,0,0
