authors,novels,Nb novels
Tournier-Michel,"['Vendredi-ou-la-vie-sauvage', 'Le-Roi-des-Aulnes', 'Vendredi-ou-les-limbes-du-Pacifique', 'Le-Coq-de-bruyere']",4
Daudet-Alphonse,"['Sapho', 'Lettres-de-mon-moulin', 'Contes-du-lundi', 'Jack']",4
Camus-Albert,"['Le-premier-homme', 'L-etranger', 'Le-premier-homme', 'La-peste']",4
Sand-George,"['La-petite-Fadette', 'La-Mare-au-Diable', 'Horace', 'Pauline']",4
Aragon-Louis,"['Les-Beaux-Quartiers', 'Aurelien', 'Les-Voyageurs-de-l-Imperiale', 'Les-aventures-de-Telemaque']",4
Goncourt-Edmond-de-Goncourt-Jules-de,"['Charles-Demailly', 'Renee-Mauperin', 'La-fille-Elisa', 'Germinie-Lacerteux']",2
Giono-Jean,"['Le-Hussard-sur-le-toit', 'Regain', 'Les-vraies-richesses']",3
Leblanc-Maurice,"['Une-femme', 'Contes', 'La-frontiere']",3
Beauvoir-Simone-de,"['Les-Mandarins', 'Memoires-d-une-jeune-fille-rangee', 'Les-Mandarins']",3
Ernaux-Annie,"['Les-annees', 'La-place', 'La-femme-gelee']",3
Huysmans-Joris-Karl,"['Les-soeurs-Vatard', 'a-rebours', 'La-bas']",3
Barbey-d-Aurevilly-Jules,"['L-ensorcelee', 'Les-Diaboliques', 'Le-Chevalier-des-Touches']",3
Modiano-Patrick,"['Les-boulevards-de-ceinture', 'Rue-des-boutiques-obscures', 'Livret-de-famille']",3
Robbe-Grillet-Alain,"['Les-Gommes', 'La-reprise']",2
Farrere-Claude,"['Les-civilises', 'La-Bataille']",2
Michon-Pierre,"['Les-Onze', 'Rimbaud-le-fils']",2
Echenoz-Jean,"['Je-m-en-vais', 'Cherokee']",2
Kerangal-Maylis-de,"['Reparer-les-vivants', 'Naissance-d-un-pont']",2
Gary-Romain,"['Les-Racines-du-Ciel', 'La-promesse-de-l-aube']",2
Renard-Jules,"['Poil-de-carotte', 'Coquecigrues']",2
Quignard-Pascal,"['Terrasse-a-Rome', 'Tous-Les-Matins-Du-Monde']",2
Gaude-Laurent,"['Cris', 'La-Mort-du-roi-Tsongor']",2
Gautier-Theophile,"['Mademoiselle-de-Maupin', 'Le-capitaine-Fracasse']",2
Pergaud-Louis,"['De-Goupil-a-Margot', 'La-Guerre-des-boutons']",2
Perec-Georges,"['Les-choses', 'La-Vie-mode-d-emploi']",2
Gide-Andre,"['Les-Faux-monnayeurs', 'Les-Caves-du-Vatican']",2
Duras-Marguerite,"['Un-barrage-contre-le-Pacifique', 'L-Amant']",2
Sainte-Beuve,"['Volupte', 'Volupte']",2
Kessel-Joseph,"['Les-Captifs', 'Le-lion']",2
Loti-Pierre,"['Le-roman-d-un-enfant', 'Madame-Chrysantheme']",2
de-Vigan-Delphine,"['Rien-ne-s-oppose-a-la-nuit', 'No-et-moi']",2
Deon-Michel,"['Un-Taxi-mauve', 'Les-poneys-sauvages']",2
Saint-Exupery-Antoine-de,"['Vol-de-nuit', 'Terre-des-hommes']",2
Houellebecq-Michel,"['La-Carte-et-le-territoire', 'La-possibilite-d-une-ile']",2
Sarraute-Nathalie,"['Tropismes', 'Enfance']",2
Barbusse-Henri,"['L-enfer', 'Le-Feu']",2
Bauchau-Henry,"['L-Enfant-rieur', 'Le-Boulevard-peripherique']",2
Simon-Claude,"['Histoire', 'La-Route-des-Flandres']",2
Valles-Jules,"['Le-Bachelier', 'L-Enfant']",2
Yourcenar-Marguerite,"['L-Oeuvre-Au-Noir', 'Souvenirs-pieux']",2
Bernanos-Georges,"['La-joie', 'Sous-le-soleil-de-Satan']",2
Malraux-Andre,"['La-Condition-Humaine', 'La-voie-royale']",2
Mme-Tarbe-Des-Sablons,['Isabelle'],1
Moselly-Emile,['Terres-lorraines'],1
Musset-Alfred-de,['La-Confession-d-un-enfant-du-siecle'],1
Muller-Rene,['Les-Enfants-gates'],1
Murger-Henri,['Scenes-de-la-vie-de-Boheme'],1
Nimier-Marie,['La-Reine-du-silence'],1
Nothomb-Amelie,['Metaphysique-des-tubes'],1
Nizan-Paul,['La-Conspiration'],1
Musso-Guillaume,['Demain'],1
N-Diaye-Marie,['Trois-femmes-puissantes'],1
Nerval-Gerard-de,['Aurelia'],1
Ajar-Emile-Gary-Romain,['La-Vie-Devant-Soi'],1
Rodenbach-Georges,['Bruges-la-Morte'],1
Orsenna-Erik,['L-exposition-coloniale'],1
Pagnol-Marcel,['Le-Temps-des-Secrets'],1
Zeniter-Alice,['Sombre-dimanche'],1
Volodine-Antoine,['Des-anges-mineurs'],1
Vigny-Alfred-de,['Stello'],1
Vigan-Delphine-de,['Les-heures-souterraines'],1
Verlaine-Paul,['Mes-prisons'],1
Vercel-Roger,['Capitaine-Conan'],1
Veber-Pierre,['L-aventure'],1
Vargas-Fred,['L-homme-a-l-envers'],1
